,index,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Uploader,Album ID,Album hrefs,Download URLs
1134,32562,01 - C1361 - 0906.U.P.RAJU-MANDOL,3,karpakamE_kaDaikkaN,madhyamAvati,pApanAsam_sivan,UP Raju,1,c1361,https://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0906.U.P.RAJU-MANDOLIN-PODHIGAI_TV/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0801---1000/0906.U.P.RAJU-MANDOLIN-PODHIGAI_TV/03-karpakamE_kaDaikkaN-madhyamAvati.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0906.U.P.RAJU-MANDOLIN-PODHIGAI_TV/
1135,32840,10 - C0337 - 333-ML_Narasimham-Vo,6,O_raghunandanA,madhyamAvati,bhadracala_rAmadas,ML Narasimham,10,c0337,https://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/333-ML_Narasimham-Vocal-150484/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-201-400/333-ML_Narasimham-Vocal-150484/06-Kharaharapriya_Ragam.mp3&amp;url=http://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/333-ML_Narasimham-Vocal-150484/
1139,32977,10 - C0140 - 136-Puranam_Purushot,4,pAlincu_kAmAkSi_pAvani,madhyamAvati,syAmA_sAstri,Puranam Purushottama Sastry,10,c0140,https://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/136-Puranam_Purushottama_Shastry-Vocal/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-001-200/136-Puranam_Purushottama_Shastry-Vocal/04-bhOgEndrasAyinaM-kuntalavarALi.mp3&amp;url=http://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/136-Puranam_Purushottama_Shastry-Vocal/
1142,32688,22 - C0153 - 106_The_Delight_of_n,12,mangaLam_giri_tanayE,madhyamAvati,bAlamuraLi_krishNA,M BalamuraliKrishna,22,c0153,https://www.sangeethamshare.org/sreenivasa/Dr_M_Balamurali_Krishna/106_The_Delight_of_nagAnandini_BMK-and-Party/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sreenivasa/Dr_M_Balamurali_Krishna/106_The_Delight_of_nagAnandini_BMK-and-Party/12-mangaLam_giri_tanayE-madhyamAvati.mp3&amp;url=http://www.sangeethamshare.org/sreenivasa/Dr_M_Balamurali_Krishna/106_The_Delight_of_nagAnandini_BMK-and-Party/
1143,33104,01 - C1788 - 1879-Geetha_Rajasekh,5,rAma_kathA_sudhArasa,madhyamAvati,tyAgarAja,Geetha Rajasekhar,1,c1788,https://www.sangeethamshare.org/tvg/UPLOADS-1801---2000/1879-Geetha_Rajasekhar-NP-Thyagaraja_Krithis/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1801---2000/1879-Geetha_Rajasekhar-NP-Thyagaraja_Krithis/05-rAma_kathA_sudhArasa-madhyamAvati-tyAgarAja.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-1801---2000/1879-Geetha_Rajasekhar-NP-Thyagaraja_Krithis/
1151,32481,01 - C4670 - 4582-Manda_Sudharani,4,dharma_samvardhini,madhyamAvati,m_dIkshitar,Manda Sudharani,1,c4670,https://www.sangeethamshare.org/tvg/UPLOADS-4401---4600/4582-Manda_Sudharani-Ragam_24x7/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4401---4600/4582-Manda_Sudharani-Ragam_24x7/04-dharma_samvardhini-madhyamAvati.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-4401---4600/4582-Manda_Sudharani-Ragam_24x7/
1152,32929,01 - C5592 - 5505-S_Rajeswari,4,pAlincu_kAmAkSi_pAvani,madhyamAvati,syAmA_sAstri,S Rajeswari,1,c5592,https://www.sangeethamshare.org/tvg/UPLOADS-5401---5600/5505-S_Rajeswari/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-5401---5600/5505-S_Rajeswari/04-pAlincu_kAmAkSi_pAvani-madhyamAvati.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-5401---5600/5505-S_Rajeswari/
1153,32817,22 - C0143 - 104_BMK-and-Party_Ty,12,nagumOmu_galavAni,madhyamAvati,tyAgarAja,M BalamuraliKrishna,22,c0143,https://www.sangeethamshare.org/sreenivasa/Dr_M_Balamurali_Krishna/104_BMK-and-Party_Tyagaraja-Aradana_1970s/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sreenivasa/Dr_M_Balamurali_Krishna/104_BMK-and-Party_Tyagaraja-Aradana_1970s/12-nagumOmu_galavAni-madhyamAvati.mp3&amp;url=http://www.sangeethamshare.org/sreenivasa/Dr_M_Balamurali_Krishna/104_BMK-and-Party_Tyagaraja-Aradana_1970s/
1154,32396,15 - C0039 - 039-Maharajapuram-Sa,8,aaDaadu_ashangaadu_vaa,madhyamAvati,oothukAdu_venkata_kavi,Maharajapuram Santhanam,15,c0039,https://www.sangeethamshare.org/muralidaran/Uploads-001-100/039-Maharajapuram-Santhanam-Live-Concert-2/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/muralidaran/Uploads-001-100/039-Maharajapuram-Santhanam-Live-Concert-2/08-aaDaadu_ashangaadu_vaa-madhyamAvati.mp3&amp;url=http://www.sangeethamshare.org/muralidaran/Uploads-001-100/039-Maharajapuram-Santhanam-Live-Concert-2/
1155,33282,01 - C2048 - 2051-Revathy_Krishna,4,sharavanabhava_guhanE,madhyamAvati,pApanAsam_sivan,Revathy Krishna,1,c2048,https://www.sangeethamshare.org/tvg/UPLOADS-2001---2200/2051-Revathy_Krishna-Veena/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2001---2200/2051-Revathy_Krishna-Veena/04-sharavanahava_guhanE-madhyamAvati-pApanAsam_sivan.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-2001---2200/2051-Revathy_Krishna-Veena/
