,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs
20759,01 - C5741 - 5617-Sandeep_Narayan,4,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,Sandeep Narayanan,http://sangeethamshare.org/tvg/UPLOADS-5601---5800/5617-Sandeep_Narayan/
20713,01 - c0647 - 143.RADHA_VISWANATHA,4,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,Radha Viswanathan,http://sangeethamshare.org/tvg/UPLOADS-0001---0200/143.RADHA_VISWANATHAN/
21974,03 - C0198 - 033-SashAnk_Flute-Au,5,rAgam_tAnam_pallavi,kalyANi,Own/Others,S Shashank,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/033-SashAnk_Flute-Augusta_GA-April2004/
22378,01 - C3070 - 3055-Yogam_Santhanam,4,unaiyallAl_vErE,kalyANi,pApanAsam_sivan,Yogam Santhanam,http://sangeethamshare.org/tvg/UPLOADS-3001---3200/3055-Yogam_Santhanam/
21565,06 - C0842 - 0948_Sri.Thiruvallur,4,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Thiruvallur V Parthasarathy,http://sangeethamshare.org/svasu/UPLOADS-0801-1000/0948_Sri.Thiruvallur.V.Parthasarathy-Violin
20836,01 - C5894 - 5773-Bharathi_Ramasu,2,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Bharathi Ramasubban,http://sangeethamshare.org/tvg/UPLOADS-5601---5800/5773-Bharathi_Ramasubban/
22056,23 - C0094 - 101-K-V-Narayanawamy,9,rAgam_tAnam_pallavi,kalyANi,Own/Others,Palghat KV Narayanaswamy,http://sangeethamshare.org/murthy/Karnatak/UPLOADS-001-200/101-K-V-Narayanawamy-Paramaacharyam-MA1993
20729,01 - C2159 - 1916-Priya_Sisters-T,6,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,Priya Sisters,http://sangeethamshare.org/tvg/UPLOADS-1801---2000/1916-Priya_Sisters-TV_Audio-Isaicharal/
21254,38 - C0063 - 007-TNS-IIT,4,himAdri_sutE_pAhimAm,kalyANi,syAmA_sAstri,TN Seshagopalan,http://sangeethamshare.org/rao_sharath/TNS/007-TNS-IIT
21680,17 - C0080 - 081-TMT-National_Pro,5,nija_dAsa_varada,kalyANi,patnam_subhramanya_iyer,TM Thyagarajan,http://sangeethamshare.org/ramasamy_v/081-TMT-National_Programme/
21907,57 - C0499 - 499-Nanditha_Ravi-Li,4,pankaja_locana,kalyANi,swAtitirunAL,Nanditha Ravi,https://sangeethamshare.org/sreekanth/499-Nanditha_Ravi-Live_Concert2/
20643,10 - C0187 - 183-KPArunachalam-Ma,6,amma_rAvamma_tulasamma,kalyANi,tyAgarAja,Karukuruchi Arunachalam,http://sangeethamshare.org/vijayagopal/UPLOADS-001-200/183-KPArunachalam-Marathon_Concert/
22219,01 - c1353 - 0896.PREMA_RANGARAJA,1,shrI_madhurAmbikE_shivE,kalyANi,m_dIkshitar,Prema Rangarajan,http://sangeethamshare.org/tvg/UPLOADS-0801---1000/0896.PREMA_RANGARAJAN/
20934,01 - C4009 - 3949-Salem_Gayathri_,4,endukO_nI_manasu_karagadu,kalyANi,tyAgarAja,Salem Gayathri Venkatesan,http://sangeethamshare.org/tvg/UPLOADS-3801---4000/3949-Salem_Gayathri_Venkatesan/
22528,54 - C0034 - 36-MS_Gopalakrishnan,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,MS Gopalakrishnan,http://sangeethamshare.org/nageswaran/Audio/UPLOADS_0001-0100/36-MS_Gopalakrishnan/
21391,10 - C0381 - 378-Nityasree_Mahade,6,kanindaruL_purindAl,kalyANi,pApanAsam_sivan,Nithyasri Mahadevan,http://sangeethamshare.org/vijayagopal/UPLOADS-201-400/378-Nityasree_Mahadevan-Vocal/
20604,01 - C4132 - 4078-Mathangi_Sathya,2,amma_rAvamma_tulasamma,kalyANi,tyAgarAja,Mathangi Sathyamoorthy,http://sangeethamshare.org/tvg/UPLOADS-4001---4200/4078-Mathangi_Sathyamoorthy-ASS_2015/
22621,01 - C1289 - 0826.ARUNA_SAIYEERAM,5,vAsudEvayani_veDalina,kalyANi,tyAgarAja,Aruna Sairam,http://sangeethamshare.org/tvg/UPLOADS-0801---1000/0826.ARUNA_SAIYEERAM/
20875,10 - C0549 - 560-Kadri_Gopalnath-,7,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Kadri Gopalnath,http://sangeethamshare.org/vijayagopal/UPLOADS-401-600/560-Kadri_Gopalnath-Saxophone/
21779,15 - C0298 - 295-Semmangudi-Live_,4,pAhimAM_srivagIsvari,kalyANi,swAtitirunAL,Semmangudi Srinivasa Iyer,http://sangeethamshare.org/muralidaran/Uploads-201-300/295-Semmangudi-Live_Concert-14/
22000,06 - c0130 - 0156-Sri-T.R.Mahalin,3,rAgam_tAnam_pallavi,kalyANi,Own/Others,TR Mahalingam,http://sangeethamshare.org/svasu/UPLOADS-0001-0200/0156-Sri-T.R.Mahalingam-Flute
21301,01 - C3532 - 3495-Varalakshmi_Ana,4,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,Varalakshmi Anandakumar,http://sangeethamshare.org/tvg/UPLOADS-3401---3600/3495-Varalakshmi_Anandkumar/
21956,02 - c0390 - 404_NRajkamal_CNC_TB,6,rAgam_tAnam_pallavi,kalyANi,Own/Others,N Rajkamal,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/404_NRajkamal_CNC_TBR_R_VaniSchool_Rngr_BLR_06May2011
22377,01 - C2744 - 2767-S_Rajeswari,4,unaiyallAl_vErE,kalyANi,pApanAsam_sivan,S Rajeswari,http://sangeethamshare.org/tvg/UPLOADS-2601---2800/2767-S_Rajeswari/
20972,02 - c0364 - 378_Voleti_Venkatesh,8,entaTi_kulukE,kalyANi,dharmapuri_subbarAya_iyer,Voleti Venkateswarulu,http://sangeethamshare.org/kasturi/UPLOADS-0201-0400/378_Voleti_Venkateshwarulu_MC_KM
21986,03 - C0792 - 440-MS_gOpAlakriShNa,8,rAgam_tAnam_pallavi,kalyANi,Own/Others,MS Gopalakrishnan,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/440-MS_gOpAlakriShNan-violin-Cleveland_OH-USA-1975/
22491,15 - C0086 - 086-M.L.Vasanthakuma,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,ML Vasanthakumari,http://sangeethamshare.org/muralidaran/Uploads-001-100/086-M.L.Vasanthakumari-Live_Concert-5-Salem/
21660,03 - C0541 - 299-mahArAjapuram_V_,4,nija_dAsa_varada,kalyANi,patnam_subhramanya_iyer,Maharajapuram Santhanam,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/299-mahArAjapuram_V_santhAnam-vocal-MVS_NM_VR-1989/
22022,10 - C0402 - 402-Bombay_Sisters-V,9,rAgam_tAnam_pallavi,kalyANi,Own/Others,Bombay Sisters,http://sangeethamshare.org/vijayagopal/UPLOADS-401-600/402-Bombay_Sisters-Vocal_Duet/
22139,03 - C0557 - 313-Dr_M_bAlamuraLik,8,sangItamE_varasukhadAyi,kalyANi,bAlamuraLi_krishNA,M BalamuraliKrishna,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/313-Dr_M_bAlamuraLikrishNa-Vocal-Toronto_CANADA-1979/
22450,02 - C0458 - 474_Madurai_Somu_ran,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,Madurai Somasundaram,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/474_Madurai_Somu_ranjani_kharaharapriyA
21304,01 - C3757 - 3689-Lalitha_Raghava,4,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,Lalitha Raghavan,http://sangeethamshare.org/tvg/UPLOADS-3601---3800/3689-Lalitha_Raghavan-Violin/
22537,57 - C0263 - 263-Nedunuri_Krishna,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,Nedunuri Krishnamurthy,http://sangeethamshare.org/sreekanth/263-Nedunuri_Krishnamurthy-Live_Concert9/
20926,01 - C2267 - 030-Trichur_V_Ramach,3,endukO_nI_manasu_karagadu,kalyANi,tyAgarAja,Trichur V Ramachandran,http://sangeethamshare.org/tvg/SEASON_2011/030-Trichur_V_Ramachandran/
21458,06 - c0331 - 0390-Radha-Jayalaksh,5,nannu_brOvumani,kalyANi,bhadracala_rAmadas,"Radha,Jayalakshmi",http://sangeethamshare.org/svasu/UPLOADS-0201-0400/0390-Radha-Jayalakshmi
21769,01 - C4069 - 4014-Prince_Ramavarm,3,pAhimAM_srivagIsvari,kalyANi,swAtitirunAL,Prince Ramavarma,http://sangeethamshare.org/tvg/UPLOADS-4001---4200/4014-Prince_Ramavarma-Navarathri_Mandapam_2015/
20716,01 - c1036 - 551.PREMA_HARIHARAN,3,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,Prema Hariharan,http://sangeethamshare.org/tvg/UPLOADS-0401---0600/551.PREMA_HARIHARAN/
20584,01 - C0704 - 204.PADMAVATHY_NAGAR,5,amma_rAvamma_tulasamma,kalyANi,tyAgarAja,Padmavathy Nagarajan,http://sangeethamshare.org/tvg/UPLOADS-0201---0400/204.PADMAVATHY_NAGARAJAN/
22063,31 - C0009 - 02_Semm_Music_Academ,10,rAgam_tAnam_pallavi,kalyANi,Own/Others,Semmangudi Srinivasa Iyer,http://sangeethamshare.org/ranganathan/Music_Audio/Vocal/02_Semmangudi/02_Semm_Music_Academy_1956
22031,15 - C0225 - 220-Semmangudi-Live_,11,rAgam_tAnam_pallavi,kalyANi,Own/Others,Semmangudi Srinivasa Iyer,http://sangeethamshare.org/muralidaran/Uploads-201-300/220-Semmangudi-Live_Concert-7/
